token,meat_count,no_meat_count
a,3,1
a't,1,0
abeceda,0,1
add,1,0
affumicato,3,0
aglio,11,29
ai,13,0
aiol,2,0
aivar,1,0
ajvar,6,1
akawi,0,1
aktualny,0,2
akvarit,1,0
al,9,3
alebob,1,0
alexandro,2,0
alfred,1,2
alio,1,0
aljassky,15,0
all,0,2
alla,1,0
allo,9,8
alma,4,0
alobal,14,0
alpsky,2,1
aly,1,0
amatrician,2,2
amazonsky,1,0
amer,9,1
americ,1,0
american,2,0
americky,120,28
americkym,0,1
americkymi,2,1
amica,1,0
amsterdam,1,0
ananas,50,6
ananasom,1,0
ananasova,0,1
ananasovy,7,0
anannas,1,0
anas,1,0
anatra,1,0
ancovicka,2,0
ancovickovy,1,0
andaluzsky,2,0
angl,4,0
anglicka,1,0
anglickej,1,0
anglickou,0,1
anglicky,49,10
anglickysalat,1,0
antonio,2,0
aoprazeny,0,1
appel,0,1
apples,0,1
ar,1,0
arabiata,0,1
arabiatta,1,0
arabiatto,0,1
arabiaty,5,5
arabic,1,0
arabsky,7,5
aragula,0,1
arajes,1,4
arancini,1,0
arasid,3,3
arasida,1,0
arasidovy,5,3
arborio,0,1
argentina,1,0
argentinsky,2,0
armensky,0,1
aro,0,1
arrabbiaty,0,1
arrabiaty,0,1
articok,6,0
articoka,2,1
articokami,0,1
articoky,1,0
arugula,5,0
asagnut,0,2
asiago,1,0
asparagus,1,0
at,18,4
atarsky,0,1
atensky,1,0
australsky,1,0
autunno,0,1
avokad,1,0
avokado,10,7
avokadovy,1,5
az,3,1
azdovsky,1,0
azia,2,0
azijsky,10,1
azt,0,1
azu,1,0
b,120,88
baba,140,37
babickin,3,2
babickina,2,3
babkin,1,0
baby,4,2
bac,1,0
baca,1,0
baci,1,0
bacon,6,1
bacov,2,1
bacovsky,17,1
bacskat,1,0
badian,2,1
badianovy,1,0
bageta,11,11
bagetka,24,20
baka,0,1
baked,29,4
baklazan,20,27
baklazanovy,4,3
bakony,1,0
balada,1,1
balatonsky,1,1
balkan,1,0
balkansky,18,21
balls,1,4
balotinka,1,0
balsamic,3,2
balsamico,1,5
balsamiko,1,0
balzamic,1,0
balzamicovy,1,0
balzamik,2,2
bambi,1,0
bambin,1,0
bambino,3,0
bamboo,3,0
bambusovy,3,1
banan,0,9
bananovy,0,5
banbin,1,0
banicky,1,0
bantinka,1,0
bar,1,0
barani,33,2
baranie,1,0
barany,1,1
barbecue,14,2
barbeque,6,0
barmsky,1,0
basilicata,0,2
basit,4,3
basmati,13,5
basta,4,0
batat,5,5
batata,3,0
batatovy,17,5
bavarit,1,0
bavcov,1,0
bavorsky,20,4
bayalka,1,0
bayildi,0,1
bazalk,1,0
bazalka,60,45
bazalkou,1,3
bazalkovo,4,0
bazalkovy,49,33
bazalkovym,1,0
bazalok,1,0
bazant,9,0
bazanti,2,1
bazat,3,0
bbq,47,3
bcb,1,0
bean,3,2
beans,1,3
beckovsky,4,0
beef,23,0
beer,1,0
bejba,1,0
bel,1,0
belasy,1,0
belehradska,3,0
belehradske,1,0
belehradsky,5,0
belgicky,4,1
belugo,0,3
benatsky,3,0
bernwurst,1,0
besamel,5,4
besamela,1,0
besamelova,0,1
besamelovy,1,0
bezlepkovy,3,6
bezmasity,0,1
bezvajecny,0,1
bianco,2,0
bielat,3,4
bielou,1,0
biely,39,34
biftecka,4,0
biftek,1,0
big,1,0
bigol,1,0
bigos,1,0
bilinkovy,2,0
bio,7,2
bird,1,0
birra,1,0
bisi,0,1
bisit,1,0
biznis,8,0
blansirovany,4,1
bleu,70,0
bleue,2,0
blue,36,1
